Company_Name,Market,Country_Code,City,Founded_Year,Funding_Rounds,Funding_Total_USD,First_Funding_At,Last_Funding_At,Status
ConnectM Technology Solutions, Mobility ,IND,Bengaluru,2007,2,10000000,2007-06-27,2010-08-01,Operating
Convin,Analytics,IND,Bengaluru,2019,1,300000,09-04-2021,09-04-2021,Operating
Convosight,Social Media Management,IND,Delhi,2019,2,13000000,18-09-2019,10-07-2020,Operating
Cooolio Online, Software ,IND,Bengaluru,2010,1,210000,2013-09-30,2013-09-30,Operating
Cooptions Technologies, Software ,IND,Hyderabad,1999,1,10000000,2009-11-23,2009-11-23,Closed
Core Diagnostics, Biotechnology ,IND,Gurgaon,,1,5000000,2012-07-01,2012-07-01,Operating
CostPrize, E-Commerce ,IND,Bengaluru,2011,2,200000,2013-03-15,2014-11-11,Operating
Country Delight, Delivery Service,IND,Sohna,2015,9,44247827,09-09-2017,19-03-2025,Operating
Covacsis, Services ,IND,Mumbai,2009,3,450000,2012-09-24,2014-06-24,Operating
Craftsvilla, E-Commerce ,IND,Mumbai,2011,3,1838042,2011-10-19,2014-06-01,Operating
CRED, FinTech,IND,Bengaluru,2018,6,471205550,24-04-2020,24-06-2025,Operating
CredFlow,"Credit, Financial Services",IND,New Delhi,2019,1,1824000,20-08-2020,20-08-2020,Operating
Credii, Software ,IND,Bengaluru,2011,3,90000,2012-02-09,2013-05-01,Operating
Crispify, Video ,IND,Bengaluru,2013,1,40000,2013-07-01,2013-07-01,Operating
Crispy Games Private Limited, Games ,IND,Mumbai,2011,1,40000,2013-03-13,2013-03-13,Operating
CRMnext, Software ,IND,Mumbai,2002,1,7003500,2014-05-06,2014-05-06,Operating
CropIn Technologies, Mobility ,IND,Bengaluru,2010,1,0,2014-03-26,2014-03-26,Operating
Crude Area, Product Design ,IND,Mumbai,2012,2,115015,2013-07-29,2013-08-01,Operating
Cubicle, Consulting ,IND,Mumbai,,1,40000,2013-12-16,2013-12-16,Operating
Cubito,,IND,Bengaluru,2012,2,0,2013-07-29,2013-09-23,Operating
Cultivate IT Solutions & Management Pvt. Ltd., Software ,IND,Ghaziabad,2010,1,20000,2010-03-31,2010-03-31,Closed
Culture Machine, Entertainment ,IND,Mumbai,2013,1,3500000,2014-09-01,2014-09-01,Operating
CultureAlley, Facebook Applications ,IND,Jaipur,2012,3,345000,2013-03-01,2014-04-01,Operating
CURA Healthcare, Medical Devices ,IND,Chennai,2001,2,15000000,2012-01-01,2014-06-11,Operating
cure.fit, Health Care,IND,Bengaluru,2016,10,479575960,03-09-2017,18-09-2025,Operating
Curves, Health and Wellness ,IND,Bengaluru,,1,0,2012-09-11,2012-09-11,Operating
CustomerXPs Software, Software ,IND,Bengaluru,2006,1,4000000,2011-06-14,2011-06-14,Operating
Cygnus Medicare, Health and Wellness ,IND,New Delhi,2011,1,9760000,2014-10-17,2014-10-17,Operating
DailyObjects.com, Fashion ,IND,New Delhi,2012,1,0,2012-01-01,2012-01-01,Operating
DaMENSCH,E-Commerce,IND,Bengaluru,2018,3,7650000,02-02-2019,03-06-2021,Operating
Dataresolve Technologies, Security ,IND,Kolkata,2008,2,20000,2008-08-08,2011-01-06,Operating
dateIITians, Women ,IND,Bengaluru,2012,1,20000,2011-12-28,2011-12-28,Operating
DealsAndYou, Group Buying ,IND,Gurgaon,2010,2,18500000,2010-08-01,2011-11-01,Operating
DecideQuick, Social Media ,IND,Trivandrum,2011,1,100000,2012-01-14,2012-01-14,Operating
Deck App Technologies, Enterprise Software ,IND,Bengaluru,2012,1,600000,2013-12-16,2013-12-16,Operating
Delhivery, Supply Chain Management ,IND,Gurgaon,2011,3,42500000,2012-08-01,2014-09-08,Operating
DeliveryChef.in, E-Commerce ,IND,Mumbai,2010,1,0,2013-11-12,2013-11-12,Operating
Delyver.com, Online Shopping ,IND,Bengaluru,2010,1,1000000,2014-11-28,2014-11-28,Operating
Denty's, Dental ,IND,Hyderabad,,1,4500000,2014-05-05,2014-05-05,Operating
DesiCrew Solutions, Education ,IND,Chennai,2007,1,1200000,2012-01-01,2012-01-01,Operating
Dexetra, Android ,IND,Cochin,2010,2,1200000,2011-10-17,2013-01-31,Operating
Diabeto, Mobile ,IND,Mumbai,2012,1,40000,2012-11-26,2012-11-26,Operating
Diditz, Social Media ,IND,New Delhi,2008,1,0,2009-01-01,2009-01-01,Closed
Digit Insurance,Finance,IND,Bengaluru,2016,5,244460150,04-09-2016,04-01-2020,Operating
Digital Class E-Learning Marketplace,EdTech,IND,Ahmedabad,2017,1,42000,16-05-2017,16-05-2017,Operating
Digital Music India, Music ,IND,Mumbai,2004,1,4500000,2006-12-23,2006-12-23,Operating
Dimensions IT Infrastructure Solutions, E-Commerce ,IND,Pune,2011,1,0,2013-11-02,2013-11-02,Operating
dineout, Curated Web ,IND,Delhi,,1,0,2014-01-24,2014-01-24,Operating
Disruptive By Design, Social Media ,IND,Kolkata,2011,1,10000,2011-05-01,2011-05-01,Operating
Dixon Technologies, Hardware + Software ,IND,Noida,,1,9350000,2008-04-28,2008-04-28,Operating
DocsApp,Health Care,IND,Bengaluru,2015,5,27575748,22-03-2017,22-07-2021,Operating
DoctorC, Doctors ,IND,Hyderabad,2013,1,410000,2014-09-16,2014-09-16,Operating
DocTree, Health Care ,IND,Bengaluru,,2,0,2013-02-21,2014-02-27,Operating
DogSpot, Pets ,IND,Gurgaon,2007,1,5000000,2013-12-13,2013-12-13,Operating
Doubtnut, EdTech,IND,Gurgaon,2016,5,49939813,05-01-2018,16-12-2022,Operating
Dr Lal PathLabs, Biotechnology ,IND,Haryana,,1,0,2010-08-26,2010-08-26,Operating
Droom, E-Commerce,IND,Haryana,2014,7,133000000,14-10-2014,24-11-2020,Operating
DukaanÂ®,DIY,IND,Bengaluru,2019,1,6000000,03-04-2021,03-04-2021,Operating
Dunzo,Delivery Service,IND,Bengaluru,2015,15,128399438,21-04-2015,01-07-2025,Operating
e Health Access, Health and Wellness ,IND,Hyderabad,2013,1,560000,2014-02-07,2014-02-07,Operating
E2E Networks, Cloud Computing ,IND,Faridabad,2008,3,176605,2009-11-01,2013-06-30,Operating
EarlySalary,Financial Services,IND,Pune,2015,7,33267529,25-02-2017,22-10-2023,Operating
Ease My Sell, Freelancers ,IND,Mumbai,2012,1,200000,2012-06-04,2012-06-04,Operating
Eashmart, Mobile ,IND,Delhi,,1,0,2014-01-31,2014-01-31,Operating
Easy Square Feet, Real Estate ,IND,Bengaluru,2009,1,0,2009-08-13,2009-08-13,Operating
EasyLink, Web Hosting ,IND,Chennai,1995,1,5400000,2006-04-13,2006-04-13,Operating
EBS Worldwide Services, Advertising ,IND,Mumbai,2000,1,5500000,2006-06-07,2006-06-07,Operating
Ecolibrium, Hardware + Software ,IND,Ahmedabad,2009,1,1600000,2013-05-27,2013-05-27,Operating
Ecom Express, Logistics ,IND,Gurgaon,2013,1,16500000,2014-09-09,2014-09-09,Operating
Ecozen Solutions, Clean Technology ,IND,Nagpur,2010,1,0,2013-12-12,2013-12-12,Operating
eDabba, Fashion ,IND,Mumbai,2011,3,2850000,2012-04-01,2013-09-06,Operating
eDreams Edusoft, Software ,IND,Bengaluru,2010,1,2000000,2013-05-29,2013-05-29,Operating
Edserv Softsystems, Education ,IND,Chennai,2001,1,964000,2008-03-27,2008-03-27,Closed
Edsix Brain Lab Private Limited, Kids ,IND,Chennai,2013,1,50000,2013-06-30,2013-06-30,Operating
EduKart, Education ,IND,New Delhi,2011,1,500000,2013-05-30,2013-05-30,Operating
edupristine, Corporate Training ,IND,Mumbai,2007,1,1500000,2014-04-08,2014-04-08,Operating
Edutor, Education ,IND,Hyderabad,,1,400000,2012-03-26,2012-03-26,Operating
Egully, E-Commerce ,IND,Delhi,2009,1,50000,2009-01-01,2009-01-01,Operating
Eka Software Solutions, Logistics ,IND,Bengaluru,2004,3,16000000,2005-01-01,2013-10-15,Operating
Eko India Financial Services, Finance ,IND,New Delhi,,1,5500000,2011-07-11,2011-07-11,Operating
Electronic Payment and Services (EPS), Hardware + Software ,IND,Mumbai,2012,2,11000000,2013-08-26,2013-12-17,Operating
Embibe, Education ,IND,Mumbai,2012,1,4000000,2014-05-05,2014-05-05,Operating
Emergent Ventures India, Consulting ,IND,Gurgaon,1999,1,10040000,2008-04-06,2008-04-06,Operating
eMithilaHaat, Art ,IND,Darbhanga,2013,1,5000,2013-10-25,2013-10-25,Operating
emo2 Inc, Hardware + Software ,IND,Bengaluru,2011,1,0,2011-02-02,2011-02-02,Operating
Empower Futures,,IND,Ahmedabad,2012,1,16000,2013-01-01,2013-01-01,
Equitas Holdings, Finance ,IND,Chennai,2007,1,16000000,2013-12-20,2013-12-20,Closed
ERC Eye Care, Biotechnology ,IND,Jorhat,2011,1,0,2013-12-18,2013-12-18,Operating
Eruvaka Technologies, Manufacturing ,IND,Vijayawada,2012,1,0,2013-11-26,2013-11-26,Operating
Etable, Social Media ,IND,Bengaluru,2012,1,100000,2013-01-10,2013-01-10,Operating
etechies.in,,IND,Gurgaon,,1,2003257,2011-11-01,2011-11-01,Operating
Etown India Services, Local Businesses ,IND,Kovilpatti,,1,110000,2012-03-15,2012-03-15,Operating
Eventifier, Curated Web ,IND,Bengaluru,2012,1,500000,2013-12-02,2013-12-02,Operating
Eventus Software Pvt, Software ,IND,Chennai,2011,1,130000,2014-04-28,2014-04-28,
Exam18, Marketplaces ,IND,Mumbai,2013,1,81208,2014-01-12,2014-01-12,Operating
Examify, Big Data ,IND,Mumbai,2012,1,80000,2014-08-18,2014-08-18,Operating
Excellence4u, Consulting ,IND,Bengaluru,2011,1,10000000,2013-05-28,2013-05-28,Operating
Excelsoft, Education ,IND,Mysore,1999,1,8620000,2008-09-17,2008-09-17,Operating
EximSoft-Trianz, Software ,IND,Bengaluru,1997,1,14000000,2007-01-16,2007-01-16,Acquired
Exotel, Messaging ,IND,Bengaluru,,1,500000,2012-03-27,2012-03-27,Operating
Experifun, Education ,IND,Bengaluru,2012,2,335000,2013-11-27,2014-09-19,Operating
Explara, Ticketing ,IND,Bengaluru,2008,2,0,2013-02-12,2013-02-18,Operating
eYantra Industries, Software ,IND,Hyderabad,2001,1,7500000,2010-07-08,2010-07-08,Operating
Eye-Q, Health and Wellness ,IND,Gurgaon,2007,1,4500000,2014-01-30,2014-01-30,Operating
Ezetap, Mobile ,IND,Bengaluru,2011,3,11500000,2012-11-01,2014-03-20,Operating
EZMove, E-Commerce ,IND,Pune,2013,1,165000,2014-08-22,2014-08-22,Operating
F5 Refreshement,Food and Beverage,IND,New Delhi,2018,2,621291,08-03-2019,18-08-2020,Operating
FAB BAG, Subscription Businesses ,IND,Mumbai,2012,1,500000,2013-02-18,2013-02-18,
FabAlley, E-Commerce ,IND,Noida,2012,1,0,2013-11-20,2013-11-20,Operating
Fabhotels,E-Commerce,IND,Gurgaon,2015,7,48598636,11-09-2015,16-06-2021,Operating
FamPay,Financial Services,IND,Bengaluru,2019,3,42850000,23-10-2021,03-10-2023,Operating
Fareye, Software ,IND,New Delhi,2008,1,320000,2014-09-11,2014-09-11,Operating
FarMart,Agriculture,IND,Gurgaon,2015,4,3280204,04-09-2017,01-04-2020,Operating
Fashion & You, E-Commerce ,IND,Gurgaon,2009,2,48000000,2010-12-09,2011-11-14,Operating
fashionandyou.com, Fashion ,IND,Gurgaon,2009,1,10000000,2014-06-06,2014-06-06,Operating
Favista Real Estate, Real Estate ,IND,Gurgaon,2011,1,2000000,2012-01-01,2012-01-01,Operating
Fifth Generation Technologies India Private, Software ,IND,Chennai,1998,1,3310000,2009-11-25,2009-11-25,Operating
FilmySphere Entertainment Pvt Ltd, Games ,IND,Bengaluru,2013,1,100000,2014-05-23,2014-05-23,Operating
Financepeer,Financial Services,IND,Mumbai,2017,3,3709141,19-12-2018,15-07-2020,Operating
Financial Information Network & Operations Pvt, Finance ,IND,Mumbai,2006,2,35000000,2007-03-03,2009-12-09,Closed
Financial Software Systems, Software ,IND,Chennai,1991,1,57000000,2014-10-14,2014-10-14,Operating
FindURClass,,IND,Mumbai,2013,1,250000,2014-11-26,2014-11-26,Operating
FindYogi, Consumers ,IND,Bengaluru,2012,1,100000,2013-07-19,2013-07-19,Operating
Firepro Systems, Security ,IND,Bengaluru,1992,1,12000000,2006-04-04,2006-04-04,Operating
FirstCry.com, E-Commerce ,IND,Pune,2010,2,29000000,2012-02-13,2014-01-21,Operating
FirstRide, Automotive ,IND,Bengaluru,2012,1,0,2014-09-18,2014-09-18,Operating
Fisdom,Financial Services,IND,Bengaluru,2015,6,23450864,23-02-2016,19-06-2021,Operating
FixNix Inc., Network Security ,IND,Vellore,2012,2,325020,2013-11-01,2014-01-16,Operating
Flat.to, Real Estate ,IND,Mumbai,2013,1,0,2013-07-08,2013-07-08,Operating
Flatheads,Retail,IND,Bengaluru,2019,2,725000,20-01-2020,06-10-2021,Operating
FleAffair, Internet ,IND,New Delhi,2013,1,10000,2013-11-21,2013-11-21,Operating
Flinto, E-Commerce ,IND,Chennai,,2,335000,2013-08-27,2014-10-02,Operating
flipClass, Education ,IND,Bengaluru,2013,1,250000,2014-08-14,2014-08-14,Operating
Flipkart, Online Shopping ,IND,Bengaluru,2007,11,2351140000,2009-01-01,2014-11-24,Operating
Flock,Developer Platform,IND,Mumbai,2014,3,45000000,06-07-2016,02-12-2018,Operating
Flutura Solutions, Software ,IND,Bengaluru,2012,1,0,2013-11-21,2013-11-21,Operating
FORMCEPT, Big Data Analytics ,IND,Bengaluru,2011,1,0,2013-06-01,2013-06-01,Operating
FortunePay, Financial Services ,IND,Bengaluru,2011,1,1000000,2014-06-05,2014-06-05,Operating
Forus Health, Health Care ,IND,Bengaluru,,2,13400000,2012-04-27,2014-01-09,Operating
Four Interactive, Curated Web ,IND,Bengaluru,2006,2,12000000,2007-02-01,2007-09-01,Operating
Framebench, Collaboration ,IND,New Delhi,2012,1,150000,2013-01-25,2013-01-25,Operating
FreeCharge, Payments ,IND,Mumbai,2010,1,33000000,2014-09-01,2014-09-01,Operating
FREECULTR, Women ,IND,Haryana,2011,1,9000000,2012-07-17,2012-07-17,Operating
Freight Tiger,Logistics,IND,Mumbai,2014,1,6600000,05-01-2015,12-12-2015,Closed
FreshMenu,Delivery,IND,Bengaluru,2014,7,25837687,19-07-2014,24-11-2020,Operating
FreshMonk, E-Commerce ,IND,Noida,,1,0,2014-11-01,2014-11-01,Operating
Freshtohome,E-Commerce,IND,Bengaluru,2015,9,152000000,11-06-2017,05-12-2025,Operating
Frilp, E-Commerce ,IND,Chennai,2013,1,500000,2014-08-08,2014-08-08,Operating
frintit, Postal and Courier Services ,IND,Bengaluru,2012,1,75000,2012-06-01,2012-06-01,Operating
FrontalRain Technologies, Software ,IND,Bengaluru,,1,0,2012-09-28,2012-09-28,Operating
Function Space, Social Network Media ,IND,Pune,2013,1,0,2014-04-16,2014-04-16,Operating
Fyle,Accounting,IND,Bengaluru,2016,5,10361312,21-08-2016,12-12-2020,Operating
Fyllo,Agriculture,IND,Bengaluru,2019,4,557033,04-07-2019,13-06-2022,Operating
G2One Network, Publishing ,IND,New Delhi,2011,2,0,2012-02-03,2013-07-09,Operating
Games2Win, Games ,IND,Mumbai,2005,3,13000000,2007-03-29,2013-03-15,Operating
GAP Miners, Software ,IND,Hyderabad,2008,1,500000,2008-01-01,2008-01-01,Operating
Gati Infrastructure, Clean Technology ,IND,Secunderabad,2003,1,43000000,2013-06-28,2013-06-28,Operating
Gayatrishakti Paper & Boards, Manufacturing ,IND,Gujrat,1996,1,4000000,2014-04-23,2014-04-23,Operating
Gecko, Hardware + Software ,IND,Bengaluru,2007,1,50000,2013-10-11,2013-10-11,Operating
GemPundit, Jewelry ,IND,Gurgaon,2012,1,0,2014-10-08,2014-10-08,Operating
Genii Technologies, Mobile ,IND,Mumbai,2011,2,100000,2011-05-12,2014-04-01,Operating
GenY Medium, Social Media ,IND,Hyderabad,2011,1,500000,2013-05-30,2013-05-30,Operating
Germin8, Social Media ,IND,Mumbai,2007,2,5400000,2013-01-01,2014-03-27,Operating
Get My Parking,Automotive,IND,New Delhi,2015,5,10392793,10-02-2015,17-03-2019,Operating
Getit InfoServices, Search ,IND,New Delhi,,1,36400000,2013-06-03,2013-06-03,Operating
Gift2Greet.com, E-Commerce ,IND,Madhapur,2007,1,250000,2014-01-01,2014-01-01,Operating
Giftindia24x7.com,,IND,Kolkata,2001,1,0,2001-01-02,2001-01-02,Operating
Giftology, Social Media ,IND,New Delhi,,1,0,2013-01-31,2013-01-31,Closed
Giftxoxo, E-Commerce ,IND,Bengaluru,2012,1,0,2013-07-10,2013-07-10,Operating
GigsJam, Music ,IND,New Delhi,2014,1,8000,2014-07-23,2014-07-23,Operating
Gingersoft Media, Advertising ,IND,Bengaluru,,1,2000000,2007-11-29,2007-11-29,Closed
Gingr, Mobile ,IND,Gurgaon,,1,28000,2012-10-15,2012-10-15,Operating
Gini & Jony, E-Commerce ,IND,Mumbai,1980,1,18000000,2013-05-14,2013-05-14,Operating
girnarsoft, Software ,IND,Jaipur,2007,1,15000000,2013-11-20,2013-11-20,Operating
Giveter, Advertising ,IND,Haryana,2012,1,500000,2013-12-16,2013-12-16,Operating
Gland Pharma, Biotechnology ,IND,Hyderabad,,1,200000000,2013-11-28,2013-11-28,Operating
Global Talent Track, Corporate Training ,IND,Pune,2008,1,0,2009-01-14,2009-01-14,Operating
GlowRoad,E-Commerce,IND,Bengaluru,2017,4,31300000,21-10-2017,09-07-2020,Operating
GMR Group, Consulting ,IND,Bengaluru,1978,1,398350000,2014-01-27,2014-01-27,Operating
GoCoop, Software ,IND,Bengaluru,2011,2,70000,2013-12-17,2013-12-17,Operating
GoMechanic,E-Commerce,IND,Gurgaon,2016,8,59849371,26-01-2016,01-10-2023,Operating
Goodera, Software,IND,Bengaluru,2014,3,17612830,26-09-2016,15-09-2018,Operating
GourmetItUp, Restaurants ,IND,Mumbai,2012,1,300000,2014-10-27,2014-10-27,Operating
Grabhouse, Real Estate ,IND,Mumbai,2013,3,2500000,2014-01-21,2014-11-05,Operating
GrabInbox, Facebook Applications ,IND,Mumbai,2011,1,40000,2011-06-20,2011-06-20,Operating
GradeStack, Education ,IND,Noida,2012,1,0,2014-03-28,2014-03-28,Operating
Gradeup,Education,IND,Noida,2015,5,10020000,22-02-2017,08-09-2021,Operating
Grama Vidiyal Micro Finance, Finance ,IND,,,1,0,2014-01-07,2014-01-07,Operating
Gramco, Real Estate ,IND,Indore,2009,1,2300000,2013-08-26,2013-08-26,Operating
Grameen Financial Services, Finance ,IND,Bengaluru,1999,2,21556050,2013-12-04,2014-05-16,Operating
GramVaani,,IND,New Delhi,2009,1,500000,2013-07-08,2013-07-08,Operating
Gray Routes Innovative Distribution, Mobile ,IND,Mumbai,2013,1,110000,2013-07-23,2013-07-23,Operating
Greencart, E-Commerce ,IND,Mumbai,2013,1,1500000,2014-03-28,2014-03-28,Operating
GreenDust, E-Commerce ,IND,Delhi,2008,1,40000000,2012-06-28,2012-06-28,Operating
Greenko Group, Clean Technology ,IND,Hyderabad,,2,241983286,2010-01-28,2014-10-24,Operating
Grey Orange Robotics, Robotics ,IND,Gurgaon,2011,1,0,2014-04-29,2014-04-29,Operating
GridAnts, Startups ,IND,Mumbai,2012,1,3000000,2014-09-02,2014-09-02,Operating
Gridle.in, Collaboration ,IND,Ahmedabad,2013,3,30000,2013-08-20,2014-01-06,Operating
Groupe Athena, Biotechnology ,IND,Mumbai,2008,1,2355000,2010-03-03,2010-03-03,Operating
GrownOut, Social Network Media ,IND,New Delhi,2013,2,40000,2014-06-01,2014-10-07,Operating
Groww,Financial Services,IND,Bengaluru,2017,6,142262674,22-05-2019,14-09-2024,Operating
GTI Capital Group, Finance ,IND,New Delhi,,1,0,2011-03-01,2011-03-01,Operating
Gungroo, Parenting ,IND,Bengaluru,2012,1,0,2012-04-01,2012-04-01,Operating
GupShup, Mobile ,IND,Mumbai,2004,3,33000000,2006-12-22,2010-03-02,Operating
Guruji, Search ,IND,Bengaluru,2006,2,15000000,2006-01-01,2007-01-01,Closed
HackerEarth, Software ,IND,Bengaluru,2012,2,500000,2013-06-01,2014-02-24,Operating
Haier, Home Automation ,IND,New Delhi,,1,364000000,2013-12-08,2013-12-08,Operating
HalaPlay Technologies,Digital Entertainment,IND,Bengaluru,2016,3,7964767,14-01-2016,05-04-2018,Operating
Happiest Minds, Software ,IND,Bengaluru,2011,1,45000000,2011-11-16,2011-11-16,
Head Held High, Nonprofits ,IND,Bengaluru,2007,1,408225,2013-08-13,2013-08-13,Operating
HealthcareMagic, Health Care ,IND,Bengaluru,2008,1,2500000,2009-02-12,2009-02-12,Acquired
HealthHiway, Enterprise Software ,IND,Hyderabad,,1,4000000,2009-09-04,2009-09-04,Operating
Healthkart, E-Commerce ,IND,Gurgaon,2011,1,0,2013-06-07,2013-06-07,Operating
Hearing Plus,,IND,Kolkata,,1,0,2014-08-12,2014-08-12,Operating
Heckyl, Finance ,IND,Mumbai,2010,3,4750000,2012-01-01,2013-12-10,Operating
Hector Beverages, Hospitality ,IND,Haryana,2009,1,8000000,2013-05-20,2013-05-20,Operating
Helical IT Solutions, Software ,IND,Hyderabad,2012,1,2500000,2013-05-10,2013-05-10,Operating
Hello Curry, Hospitality ,IND,Hyderabad,,1,500000,2014-03-07,2014-03-07,Operating
Hellotravel, E-Commerce ,IND,Noida,2009,1,0,2014-05-09,2014-05-09,Operating
HelpingDoc, Health and Wellness ,IND,New Delhi,2011,2,1655236,2011-01-01,2014-08-07,Operating
hike, Mobile ,IND,New Delhi,2012,3,86000000,2013-04-25,2014-08-26,Operating
Hippocampus Learning Centres, Education ,IND,Bengaluru,2010,5,20997981,2012-02-05,2014-07-02,Operating
Hire a 3D Pro, Marketplaces ,IND,Hyderabad,,1,10000,2014-11-10,2014-11-10,Operating
HistoryFile, Hospitality ,IND,Kochi,2008,1,6000,2008-07-25,2008-07-25,Operating
Hokey Pokey,,IND,Mumbai,2011,1,0,2013-08-21,2013-08-21,Operating
Holisol logistics, Logistics ,IND,New Delhi,2009,1,1500000,2014-08-25,2014-08-25,Operating
HomeLane,Home Décor,IND,Bengaluru,2014,9,63359735,02-03-2016,25-04-2024,Operating
HomeShop18, E-Commerce ,IND,Noida,2008,3,65000000,2008-07-08,2013-10-23,
hoopos.com, E-Commerce ,IND,Bengaluru,2011,1,0,2011-10-01,2011-10-01,Acquired
Hoopz Planet Info, Content ,IND,Pune,2011,1,1000000,2011-08-01,2011-08-01,Operating
Hotelogix, Hotels ,IND,Noida,2008,2,3000000,2012-04-11,2014-11-14,Operating
HotelsAroundYou, Hotels ,IND,Mumbai,,1,0,2014-10-27,2014-10-27,Operating
Housing.com, Real Estate ,IND,Mumbai,2012,4,139500000,2013-06-04,2014-11-19,Operating
Hungama Digital Media Entertainment Pvt. Ltd., Games ,IND,Mumbai,1999,1,40000000,2014-07-04,2014-07-04,Operating
HungerBox,Food Delivery,IND,Bengaluru,2015,8,44580231,16-10-2016,07-05-2023,Operating
Hurix Systems Private, Software ,IND,Mumbai,2001,1,5100000,2007-10-03,2007-10-03,Operating
i7 Networks, Security ,IND,Bengaluru,2012,1,300000,2012-08-20,2012-08-20,Operating
iBloom Technologies, Curated Web ,IND,Ahmedabad,2009,1,0,2009-05-01,2009-05-01,Closed
IBS Software Services (P), Software ,IND,Trivandrum,1997,1,60000000,2007-07-26,2007-07-26,Acquired
Icecreamlabs,,IND,Bengaluru,2013,1,0,2013-05-01,2013-05-01,Operating
iCreate Software, Software ,IND,Bengaluru,2006,2,12430000,2010-01-29,2012-12-12,Operating
iD Fresh Food,,IND,Bengaluru,2006,1,5700000,2014-10-31,2014-10-31,Operating
Idea Device, Data Centers ,IND,Bengaluru,2009,1,4000000,2013-10-09,2013-10-09,Operating
ideacts innovations, Advertising ,IND,Mumbai,,1,5000000,2008-07-03,2008-07-03,Operating
ideaForge, Photography ,IND,Mumbai,2007,2,125000,2008-04-01,2011-01-12,Operating
IFMR Capital, Finance ,IND,Chennai,2006,1,29000000,2014-03-31,2014-03-31,Operating
IFMR Rural Channels and Services, Finance ,IND,Chennai,2006,1,5000000,2013-10-24,2013-10-24,Operating
igadget.asia, News ,IND,Mumbai,2012,1,10000,2012-01-01,2012-01-01,Closed
Ignis IT Solutions, E-Commerce ,IND,Indore,2013,1,50000,2013-08-09,2013-08-09,Operating
iKaaz, NFC ,IND,Bengaluru,2012,2,0,2014-01-02,2014-01-30,Operating
iKen Solutions Pvt. Ltd., Content Discovery ,IND,Mumbai,2005,1,2000000,2007-01-01,2007-01-01,Operating
iKure Techsoft, Software ,IND,Kolkata,2010,1,115000,2014-03-09,2014-03-09,Operating
IMAGINATE - Technovating Reality, Software ,IND,Hyderabad,2011,1,40000,2012-08-10,2012-08-10,Operating
IMImobile, Mobile ,IND,Hyderabad,1999,3,26000000,2005-11-16,2009-11-13,Operating
i'mma, E-Commerce ,IND,Mumbai,2013,1,125000,2013-07-08,2013-07-08,Closed
Incap, Manufacturing ,IND,Bengaluru,,1,2587000,2008-11-26,2008-11-26,Operating
InCights Mobile Solutions, Software ,IND,Hyderabad,2010,1,160000,2013-11-13,2013-11-13,Operating
InCred,Banking,IND,Mumbai,2016,8,254425980,04-05-2017,20-02-2024,Operating
India Online Health, Medical ,IND,Pune,2011,1,0,2014-02-18,2014-02-18,Operating
India Property Online, E-Commerce ,IND,Chennai,2012,2,19000000,2013-05-09,2013-12-19,Operating
IndiaEver.com, Music ,IND,New Delhi,2012,1,20000,2012-09-13,2012-09-13,Closed
IndiaHomes, Curated Web ,IND,New Delhi,,2,74800000,2014-04-16,2014-12-02,Operating
IndiaIdeas, Finance ,IND,Ahmedabad,,1,7500000,2006-06-22,2006-06-22,Operating
IndiaMART, Services ,IND,Noida,1996,1,0,2009-01-14,2009-01-14,Operating
IndianRoots, Internet ,IND,Gurgaon,2013,1,5000000,2014-09-07,2014-09-07,Operating
IndianStage, Photography ,IND,Bengaluru,,1,0,2014-02-17,2014-02-17,Operating
Indifi Technologies, Financial Services,IND,Gurgaon,2015,5,35826551,26-10-2017,26-03-2021,Operating
Indium Software Inc., Software ,IND,Chennai,,1,1000000,2006-04-21,2006-04-21,Operating
Indus Insights, E-Commerce ,IND,Haryana,2009,1,0,2014-08-05,2014-08-05,Operating
IndusDiva.com, E-Commerce ,IND,Bengaluru,2012,2,0,2013-07-09,2014-01-01,Operating
INDwealth, Financial Services,IND,Gurgaon,2018,3,56891230,12-05-2020,01-03-2022,Operating
Indyarocks, Social Media ,IND,Hyderabad,2007,1,1000000,2008-11-15,2008-11-15,Operating
infoBizz, Software ,IND,Meerut,2008,1,0,2013-11-07,2013-11-07,Operating
Infogile Technologies, Software ,IND,Gurgaon,2007,1,20000,2007-05-04,2007-05-04,Operating
Infra.Market,E-Commerce,IND,Thane,2016,7,161545747,10-08-2016,12-11-2022,Operating
Infrasoft Technologies, Software ,IND,Mumbai,1994,1,24800000,2007-07-11,2007-07-11,Operating
Innovis, Telecommunications ,IND,Gurgaon,2009,1,0,2011-12-12,2011-12-12,Operating
Innoviti, Finance ,IND,Bengaluru,2002,1,1600000,2014-03-20,2014-03-20,Operating
Innoz, Apps ,IND,Bengaluru,2008,1,0,2012-04-01,2012-04-01,Operating
InOpen, Education ,IND,Mumbai,2009,2,0,2011-08-01,2013-11-24,Operating
Insightwall Technology Solutions, Software ,IND,Bengaluru,2014,1,0,2014-09-19,2014-09-19,Operating
Instamedia, Curated Web ,IND,Shimla,2006,1,4000000,2010-09-09,2010-09-09,Operating
Instamojo, Payments ,IND,Mumbai,2012,3,500000,2012-07-01,2014-11-13,Operating
inTarvo, Outsourcing ,IND,Noida,1995,2,21900000,2007-10-16,2009-09-17,Operating
IntelleGrow Finance, Finance ,IND,Mumbai,2010,1,4500000,2014-03-05,2014-03-05,Operating
